BRD_NUM,BRD_Ref,BRD_Type,Packet_Type,SW_Pos,StreamingIP,CH,Mantid_DetectorID_Start,Mantid_Detector_ID_Lenght,Comment
0,ADC0-S0,PC3544MS,Position,0,192.168.2.100,0,1100000,512,
0,ADC0-S0,PC3544MS,Position,0,192.168.2.100,1,1101000,512,
0,ADC0-S0,PC3544MS,Position,0,192.168.2.100,2,1102000,512,
0,ADC0-S0,PC3544MS,Position,0,192.168.2.100,3,1103000,512,
0,ADC0-S0,PC3544MS,Position,0,192.168.2.100,4,1104000,512,
0,ADC0-S0,PC3544MS,Position,0,192.168.2.100,5,1105000,512,
0,ADC0-S1,PC3544MS,Position,0,192.168.2.101,0,1106000,512,
0,ADC0-S1,PC3544MS,Position,0,192.168.2.101,1,1107000,512,
0,ADC0-S1,PC3544MS,Position,0,192.168.2.101,2,1108000,512,
0,ADC0-S1,PC3544MS,Position,0,192.168.2.101,3,1109000,512,
0,ADC0-S1,PC3544MS,Position,0,192.168.2.101,4,1110000,512,
0,ADC0-S1,PC3544MS,Position,0,192.168.2.101,5,1111000,512,
0,ADC0-S2,PC3544MS,Position,0,192.168.2.102,0,1112000,512,
0,ADC0-S2,PC3544MS,Position,0,192.168.2.102,1,1113000,512,
0,ADC0-S2,PC3544MS,Position,0,192.168.2.102,2,1114000,512,
0,ADC0-S2,PC3544MS,Position,0,192.168.2.102,3,1115000,512,
0,ADC0-S2,PC3544MS,Position,0,192.168.2.102,4,1116000,512,
0,ADC0-S2,PC3544MS,Position,0,192.168.2.102,5,1117000,512,
0,ADC0-S3,PC3544MS,Position,0,192.168.2.103,0,1118000,512,
0,ADC0-S3,PC3544MS,Position,0,192.168.2.103,1,1119000,512,
0,ADC0-S3,PC3544MS,Position,0,192.168.2.103,2,1120000,512,
0,ADC0-S3,PC3544MS,Position,0,192.168.2.103,3,1121000,512,
0,ADC0-S3,PC3544MS,Position,0,192.168.2.103,4,1122000,512,
0,ADC0-S3,PC3544MS,Position,0,192.168.2.103,5,1123000,512,
1,ADC1-S0,PC3544MS,Position,1,192.168.2.104,0,1200000,512,
1,ADC1-S0,PC3544MS,Position,1,192.168.2.104,1,1201000,512,
1,ADC1-S0,PC3544MS,Position,1,192.168.2.104,2,1202000,512,
1,ADC1-S0,PC3544MS,Position,1,192.168.2.104,3,1203000,512,
1,ADC1-S0,PC3544MS,Position,1,192.168.2.104,4,1204000,512,
1,ADC1-S0,PC3544MS,Position,1,192.168.2.104,5,1205000,512,
1,ADC1-S1,PC3544MS,Position,1,192.168.2.105,0,1206000,512,
1,ADC1-S1,PC3544MS,Position,1,192.168.2.105,1,1207000,512,
1,ADC1-S1,PC3544MS,Position,1,192.168.2.105,2,1208000,512,
1,ADC1-S1,PC3544MS,Position,1,192.168.2.105,3,1209000,512,
1,ADC1-S1,PC3544MS,Position,1,192.168.2.105,4,1210000,512,
1,ADC1-S1,PC3544MS,Position,1,192.168.2.105,5,1211000,512,
1,ADC1-S2,PC3544MS,Position,1,192.168.2.106,0,1212000,512,
1,ADC1-S2,PC3544MS,Position,1,192.168.2.106,1,1213000,512,
1,ADC1-S2,PC3544MS,Position,1,192.168.2.106,2,1214000,512,
1,ADC1-S2,PC3544MS,Position,1,192.168.2.106,3,1215000,512,
1,ADC1-S2,PC3544MS,Position,1,192.168.2.106,4,1216000,512,
1,ADC1-S2,PC3544MS,Position,1,192.168.2.106,5,1217000,512,
1,ADC1-S3,PC3544MS,Position,1,192.168.2.107,0,1218000,512,
1,ADC1-S3,PC3544MS,Position,1,192.168.2.107,1,1219000,512,
1,ADC1-S3,PC3544MS,Position,1,192.168.2.107,2,1220000,512,
1,ADC1-S3,PC3544MS,Position,1,192.168.2.107,3,1221000,512,
1,ADC1-S3,PC3544MS,Position,1,192.168.2.107,4,1222000,512,
1,ADC1-S3,PC3544MS,Position,1,192.168.2.107,5,1223000,512,
2,ADC2-S0,PC3544MS,Position,2,192.168.2.108,0,1300000,512,
2,ADC2-S0,PC3544MS,Position,2,192.168.2.108,1,1301000,512,
2,ADC2-S0,PC3544MS,Position,2,192.168.2.108,2,1302000,512,
2,ADC2-S0,PC3544MS,Position,2,192.168.2.108,3,1303000,512,
2,ADC2-S0,PC3544MS,Position,2,192.168.2.108,4,1304000,512,
2,ADC2-S0,PC3544MS,Position,2,192.168.2.108,5,1305000,512,
2,ADC2-S1,PC3544MS,Position,2,192.168.2.109,0,1306000,512,
2,ADC2-S1,PC3544MS,Position,2,192.168.2.109,1,1307000,512,
2,ADC2-S1,PC3544MS,Position,2,192.168.2.109,2,1308000,512,
2,ADC2-S1,PC3544MS,Position,2,192.168.2.109,3,1309000,512,
2,ADC2-S1,PC3544MS,Position,2,192.168.2.109,4,1310000,512,
2,ADC2-S1,PC3544MS,Position,2,192.168.2.109,5,1311000,512,
2,ADC2-S2,PC3544MS,Position,2,192.168.2.110,0,1312000,512,
2,ADC2-S2,PC3544MS,Position,2,192.168.2.110,1,1313000,512,
2,ADC2-S2,PC3544MS,Position,2,192.168.2.110,2,1314000,512,
2,ADC2-S2,PC3544MS,Position,2,192.168.2.110,3,1315000,512,
2,ADC2-S2,PC3544MS,Position,2,192.168.2.110,4,1316000,512,
